dalinar		3	0.00254
kholin		2	0.00169
listen		1	0.000845
conference		1	0.000845
trusted		1	0.000845
expectations		1	0.000845
silence		1	0.000845
officer		1	0.000845
required		1	0.000845
uphold.		1	0.000845
lighteyes		1	0.000845
whispered.		1	0.000845
revealing		1	0.000845
secret		1	0.000845
youd		1	0.000845
shared		1	0.000845
repeated.		1	0.000845
king		1	0.000845
somewhere		1	0.000845
decided		1	0.000845
gather		3	0.00254
name		1	0.000845
id		1	0.000845
call		2	0.00169
idiot		1	0.000845
radiants		2	0.00169
werent		2	0.00169
traitors.		1	0.000845
werent.		1	0.000845
everyone		1	0.000845
betrayed		2	0.00169
change		1	0.000845
minds		1	0.000845
quickly.		1	0.000845
unless		1	0.000845
surgebind		1	0.000845
quiet		1	0.000845
lad?		1	0.000845
theyd		4	0.00338
hate		2	0.00169
they?		1	0.000845
couldnt		1	0.000845
help		2	0.00169
noticing		1	0.000845
syl		4	0.00338
through		2	0.00169
she		31	0.0262
close		1	0.000845
studying		1	0.000845
old		2	0.00169
held		2	0.00169
tefts		1	0.000845
objection.		1	0.000845
folded		1	0.000845
her		22	0.0186
giving		1	0.000845
look.		1	0.000845
promised		1	0.000845
careful		1	0.000845
about		1	0.000845
theyve		1	0.000845
enough		1	0.000845
day.		1	0.000845
nodded		1	0.000845
jogged		1	0.000845
ordered.		1	0.000845
gathered		1	0.000845
spheres		1	0.000845
set		3	0.00254
sparring		1	0.000845
waved		1	0.000845
three.		1	0.000845
packed		1	0.000845
things		4	0.00338
began		1	0.000845
hike		1	0.000845
out.		2	0.00169
used		1	0.000845
idea.		1	0.000845
kaladin.		1	0.000845
no.		1	0.000845
hard.		1	0.000845
ill		2	0.00169
separated.		1	0.000845
ive		1	0.000845
accepted		1	0.000845
though.		1	0.000845
deal		1	0.000845
it.		3	0.00254
four		1	0.000845
moash		1	0.000845
only		3	0.00254
treat		1	0.000845
mythological		1	0.000845
savior		1	0.000845
herald.		1	0.000845
still		4	0.00338
bridgemen		1	0.000845
reacted		1	0.000845
fear		1	0.000845
once		5	0.00423
worried		1	0.000845
about.		1	0.000845
might		5	0.00423
idolize		1	0.000845
isolate		1	0.000845
good		2	0.00169
enough.		2	0.00169
rope		1	0.000845
ladder		1	0.000845
reason		1	0.000845
wait.		1	0.000845
climbed		1	0.000845
muggy		1	0.000845
plateau		7	0.00592
east		1	0.000845
warcamps.		1	0.000845
felt		4	0.00338
strange		1	0.000845
carry		2	0.00169
money		1	0.000845
indeed		1	0.000845
soldiers		6	0.00507
guarding		1	0.000845
dalinars		3	0.00254
warcamp		1	0.000845
pester		1	0.000845
himinstead		1	0.000845
saluted		1	0.000845
straight.		1	0.000845
crisp		2	0.00169
salute		1	0.000845
gotten		1	0.000845
ones		1	0.000845
given		1	0.000845
general.		3	0.00254
seem		1	0.000845
proud		2	0.00169
theyre		2	0.00169
darkeyes		1	0.000845
saluting		1	0.000845
back.		3	0.00254
tower		2	0.00169
sadeas		1	0.000845
stormblessed		1	0.000845
called.		2	0.00169
news?		2	0.00169
curse		1	0.000845
nickname		1	0.000845
caught		1	0.000845
hero		1	0.000845
come		3	0.00254
shattered		4	0.00338
plains!		1	0.000845
yelled		1	0.000845
hes		1	0.000845
meet		1	0.000845
brightlord		1	0.000845
perhaps		3	0.00254
support		1	0.000845
him!		1	0.000845
sign.		1	0.000845
calm		1	0.000845
here.		1	0.000845
whats		1	0.000845
this?		1	0.000845
called		3	0.00254
who?		1	0.000845
name.		1	0.000845
heart		1	0.000845
became		1	0.000845
ice.		1	0.000845
nearly		1	0.000845
lost		1	0.000845
numb		1	0.000845
running.		1	0.000845
heed		1	0.000845
cry		1	0.000845
catch		1	0.000845
dashed		1	0.000845
camp		1	0.000845
command		1	0.000845
complex		2	0.00169
center.		3	0.00254
believe		1	0.000845
banner		1	0.000845
hanging		1	0.000845
above		1	0.000845
outside		2	0.00169
warcamp.		1	0.000845
passed		3	0.00254
drawing		1	0.000845
cries		1	0.000845
stares		1	0.000845
questions		1	0.000845
wrong.		1	0.000845
finally		2	0.00169
stumbled		1	0.000845
short		1	0.000845
steps		1	0.000845
bunkered		1	0.000845
buildings.		1	0.000845
blackthorn		2	0.00169
clasped		1	0.000845
man.		1	0.000845
squarefaced		1	0.000845
dignified		1	0.000845
newcomer		2	0.00169
wore		2	0.00169
pristine		1	0.000845
uniform.		1	0.000845
laughed		1	0.000845
embraced		1	0.000845
dalinar.		1	0.000845
friend		1	0.000845
long.		3	0.00254
far		1	0.000845
agreed.		1	0.000845
glad		1	0.000845
made		2	0.00169
your		1	0.000845
promises.		1	0.000845
youve		1	0.000845
found		1	0.000845
yourself		1	0.000845
shardblade!		1	0.000845
pulling		1	0.000845
holding		2	0.00169
taken		2	0.00169
